
Name                                        VM
wslservice                       2203464114176
DiagsCap                         2203464466432
RtkAudUService64                 2203466772480
svchost                          2203468566528
lsass                            2203470110720
svchost                          2203472498688
csrss                            2203474948096
svchost                          2203476340736
RtkAudUService64                 2203476729856
RuntimeBroker                    2203480137728
WidgetService                    2203481231360
svchost                          2203481600000
FileCoAuth                       2203484860416
SecurityHealthService            2203486605312
svchost                          2203493146624
SynTPEnh                         2203495280640
svchost                          2203496648704
hp-one-agent-service             2203500556288
SysInfoCap                       2203501056000
ctfmon                           2203501969408
svchost                          2203503783936
RuntimeBroker                    2203517415424
sihost                           2203523493888
svchost                          2203525128192
SystemSettingsBroker             2203526709248
svchost                          2203529359360
RuntimeBroker                    2203535220736
uihost                           2203546509312
MoUsoCoreWorker                  2203548205056
nvcontainer                      2203550695424
NVDisplay.Container              2203559030784
svchost                          2203569876992
OfficeClickToRun                 2203573563392
svchost                          2203581616128
dllhost                          2203586166784
svchost                          2203589545984
Microsoft.SharePoint             2203593404416
ApplicationFrameHost             2203598376960
taskhostw                        2203610210304
RuntimeBroker                    2203622383616
SearchIndexer                    2203632758784
nvcontainer                      2203666915328
RuntimeBroker                    2203690164224
svchost                          2203697508352
NVDisplay.Container              2203727376384
nvcontainer                      2203729043456
svchost                          2203737124864
svchost                          2203749273600
LockApp                          2203822874624
ShellExperienceHost              2203860000768
TextInputHost                    2203891220480
backgroundTaskHost               2203908509696
backgroundTaskHost               2203911806976
backgroundTaskHost               2203967725568
dwm                              2204170162176
svchost                          2204482465792
explorer                         2204692852736
MsMpEng                          2204969865216
StartMenuExperienceHost          2207181484032
OneDrive                         2207328591872
svchost                          2207834943488
SystemSettings                   2210652069888
Widgets                          2238018789376
Code                             2238052007936
Postman Agent                    2238094684160
Code                             2238150356992
servicehost                      2238230102016
Postman Agent                    2238504185856
Code                             2238896906240
SearchHost                       2239363817472
msedgewebview2                   2272264425472
msedge                           2272268382208
chrome                           2272285827072
chrome                           2306922176512
chrome                           2306923823104
msedgewebview2                   2306938474496
msedgewebview2                   2306957234176
msedge                           2306974584832
chrome                           2307040145408
chrome                           2307120128000
msedge                           2307132596224
msedgewebview2                   2307195850752
msedge                           2307483443200
msedgewebview2                   2307804827648
chrome                           2307804884992
chrome                           2308545306624
chrome                           2341246394368
msedgewebview2                   2342151372800
msedge                           2376636432384
CrossDeviceService               2480993464320
backgroundTaskHost               2480997470208
backgroundTaskHost               2480997560320
Seq                              2481068048384
pwsh                             2481281462272
PhoneExperienceHost              2481475076096
Postman Agent                    3418796777472
Code                             3444408672256
Code                             3444408672256
Code                             3444408672256
Code                             3444408672256
Code                             3444417060864
Code                             3444513222656
Code                             3446255939584
Code                             3446265774080
Code                             3446694379520
Code                             3448035586048
Code                             3449767817216
Code                             3462266896384
chrome                           3762468159488
chrome                           3762521251840
msedge                           3762535747584
chrome                           3762541133824
chrome                           3762549448704
chrome                           3762571538432
chrome                           3762634579968
chrome                           3762643984384
chrome                           3762648162304
msedgewebview2                   3762719969280
chrome                           3762775969792
chrome                           3764222427136
chrome                           3764225851392
chrome                           3764326502400
chrome                           3764423745536
chrome                           3764437004288
msedge                           3764447002624
chrome                           3764480016384
chrome                           3764497944576

